GROUP A RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0xfeca834e7da9d437645b474450688da9327112a5.sol | 38.82%               | 50.00% (+28.79%)     | 45.88% (+18.18%)     | 50.00% (+28.79%)     |
| 0x13f1b7fdfbe1fc66676d56483e21b1ecb40b58e2.sol | 28.62%               | 34.41% (+20.22%)     | 35.05% (+22.47%)     | 35.05% (+22.47%)     |
| 0xd1f1c5ff90fb6f3b0d57f5f6ad4aaf7400f4b39b.sol | 39.86%               | 47.33% (+18.75%)     | 51.96% (+30.36%)     | 43.77% (+9.82%)      |
| 0xbb5ed1edeb5149af3ab43ea9c7a6963b3c1374f7.sol | 30.23%               | 45.48% (+50.47%)     | 42.09% (+39.25%)     | 42.66% (+41.12%)     |
| 0xe25b0bba01dc5630312b6a21927e578061a13f55.sol | 55.76%               | 61.71% (+10.67%)     | 60.97% (+9.33%)      | 58.36% (+4.67%)      |
| 0x5d48aca3954d288a5fea9fc374ac48a5dbf5fa6d.sol | 38.42%               | 51.77% (+34.75%)     | 41.14% (+7.09%)      | 44.69% (+16.31%)     |
| 0x5732046a883704404f284ce41ffadd5b007fd668.sol | 44.07%               | 48.89% (+10.92%)     | 48.15% (+9.24%)      | 48.52% (+10.08%)     |
| 0x4092678e4e78230f46a1534c0fbc8fa39780892b.sol | 39.72%               | 51.87% (+30.59%)     | 50.47% (+27.06%)     | 45.79% (+15.29%)     |
| 0xa1edc78199a6e56fd52f69cf7c10f67ded15185d.sol | 31.30%               | 44.35% (+41.67%)     | 42.61% (+36.11%)     | 53.04% (+69.44%)     |
| 0xfc79774fb9dedeea2325d0d5570554eddc4e6747.sol | 54.10%               | 56.97% (+5.30%)      | 56.56% (+4.55%)      | 45.49% (-15.91%)     |
| 0xe7d7b37e72510309db27c460378f957b1b04bd5d.sol | 40.96%               | 49.80% (+21.57%)     | 49.80% (+21.57%)     | 48.59% (+18.63%)     |
| 0x9002d4485b7594e3e850f0a206713b305113f69e.sol | 42.45%               | 43.49% (+2.45%)      | 45.83% (+7.98%)      | 42.97% (+1.23%)      |
| 0x7f6f3012373b4fc7c33812402a880407eeac317c.sol | 27.08%               | 32.99% (+21.79%)     | 28.82% (+6.41%)      | 25.35% (-6.41%)      |
| 0x5301eae39a4cba1cc2a74e861fded062ca3e3420.sol | 35.43%               | 40.16% (+13.33%)     | 38.58% (+8.89%)      | 40.16% (+13.33%)     |
| 0x9e96604445ec19ffed9a5e8dd7b50a29c899a10c.sol | 46.37%               | 45.74% (-1.36%)      | 53.31% (+14.97%)     | 54.89% (+18.37%)     |
| 0x093e5c256ff8b32c7f1377f4c20e331674c77f00.sol | 34.83%               | 36.52% (+4.84%)      | 36.52% (+4.84%)      | 36.52% (+4.84%)      |
| 0xf1c9ee019ae6efbaac06d3c08b1cbaa59b1ecb48.sol | 32.10%               | 0.00% (-100.00%)     | 31.28% (-2.56%)      | 31.28% (-2.56%)      |
| 0xcf9fbffec9e0e5bbc62e79bf1965f5db76955661.sol | 47.21%               | 51.67% (+9.45%)      | 55.76% (+18.11%)     | 49.44% (+4.72%)      |
| 0x454b9f249bc1492ee995793bbc3e57b830f1a5e9.sol | 46.10%               | 46.10% (0.00%)       | 45.42% (-1.47%)      | 48.14% (+4.41%)      |
| 0xa8daa52ded91f7c82b4bb02b4b87c6a841db1fd5.sol | 41.91%               | 46.24% (+10.34%)     | 41.04% (-2.07%)      | 43.35% (+3.45%)      |
| 0x041fe8df8b4aaa868941eb877952f17babe57da5.sol | 42.65%               | 51.76% (+21.38%)     | 42.65% (0.00%)       | 42.65% (0.00%)       |
| 0x61245b6a6678f3158a37ab2c5e52369b9f452318.sol | 36.58%               | 42.02% (+14.89%)     | 38.91% (+6.38%)      | 40.86% (+11.70%)     |
| 0x123ab195dd38b1b40510d467a6a359b201af056f.sol | 22.65%               | 39.81% (+75.71%)     | 35.28% (+55.71%)     | 40.78% (+80.00%)     |
| 0x6ff73ee2255c30e072d35598f9b06795122d4e64.sol | 41.73%               | 42.13% (+0.94%)      | 41.34% (-0.94%)      | 49.21% (+17.92%)     |
| 0x3e65e1eefde5ea7ccfc9a9a1634abe90f32262f8.sol | 56.65%               | 66.46% (+17.32%)     | 61.08% (+7.82%)      | 67.09% (+18.44%)     |
| 0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098.sol | 56.91%               | 49.84% (-12.43%)     | 51.77% (-9.04%)      | 50.16% (-11.86%)     |
| 0x039f5050de4908f9b5ddf40a4f3aa3f329086387.sol | 46.82%               | 50.94% (+8.80%)      | 51.31% (+9.60%)      | 50.56% (+8.00%)      |
| 0x3930e4ddb4d24ef2f4cb54c1f009a3694b708428.sol | 30.00%               | 39.41% (+31.37%)     | 39.41% (+31.37%)     | 39.41% (+31.37%)     |
| 0xf2956001f8cf0ff7ec7742a32f2040c81c65d4f2.sol | 37.80%               | 42.52% (+12.50%)     | 42.52% (+12.50%)     | 42.52% (+12.50%)     |
| 0x490c95be16384e1f28b9e864e98ffecfcbff386d.sol | 38.42%               | 49.85% (+29.77%)     | 51.61% (+34.35%)     | 51.61% (+34.35%)     |
| 0x684e2dcb12bb755237e07242529c82f78a84ea61.sol | 36.72%               | 38.70% (+5.38%)      | 38.70% (+5.38%)      | 38.70% (+5.38%)      |
| 0x5f6e7fb7fe92ea7822472bb0e8f1be60d6a4ea50.sol | 30.19%               | 35.39% (+17.20%)     | 32.79% (+8.60%)      | 37.99% (+25.81%)     |
| 0x217fdc3f4f5061bf75a0c1c8515c8330926277da.sol | 41.70%               | 39.46% (-5.38%)      | 45.74% (+9.68%)      | 42.15% (+1.08%)      |
| 0xf1ec455e3ea962dc2840138ba5780a3853a8fc6d.sol | 44.00%               | 56.44% (+28.28%)     | 53.78% (+22.22%)     | 47.11% (+7.07%)      |
| 0x7cbc8ee27ffdba230dd316160ea01d565f17aacb.sol | 29.66%               | 49.15% (+65.71%)     | 44.49% (+50.00%)     | 49.58% (+67.14%)     |
| 0xc0e0c1dba795bfe7c4aa302a189423460cca57ad.sol | 50.00%               | 47.94% (-4.12%)      | 44.12% (-11.76%)     | 52.94% (+5.88%)      |
| 0x8c15ef5b4b21951d50e53e4fbda8298ffad25057.sol | 46.21%               | 50.00% (+8.21%)      | 60.34% (+30.60%)     | 50.34% (+8.96%)      |
