GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0xbd73e675e1fa3d60a302c797df5c82e558da7ce1.sol | 57.51%               | 60.34% (+4.93%)      | 60.34% (+4.93%)      | 60.34% (+4.93%)      |
| 0x0946e36c2887025c389ef85ea5f9150e0bed4d69.sol | 32.88%               | 38.33% (+16.57%)     | 39.30% (+19.53%)     | 37.74% (+14.79%)     |
| 0x6beb418fc6e1958204ac8baddcf109b8e9694966.sol | 36.75%               | 40.33% (+9.74%)      | 41.53% (+12.99%)     | 42.24% (+14.94%)     |
| 0xf84c61bb982041c030b8580d1634f00fffb89059.sol | 32.57%               | 25.70% (-21.08%)     | 20.60% (-36.76%)     | 25.70% (-21.08%)     |
| 0x792e0fc822ac6ff5531e46425f13540f1f68a7a8.sol | 24.55%               | 38.11% (+55.21%)     | 38.87% (+58.33%)     | 37.34% (+52.08%)     |
| 0xc2807533832807bf15898778d8a108405e9edfb1.sol | 49.89%               | 51.39% (+2.99%)      | 50.96% (+2.14%)      | 50.32% (+0.85%)      |
| 0x46b9ad944d1059450da1163511069c718f699d31.sol | 53.30%               | 44.58% (-16.37%)     | 55.66% (+4.42%)      | 45.75% (-14.16%)     |
| 0x7f6f3012373b4fc7c33812402a880407eeac317c.sol | 27.08%               | 32.99% (+21.79%)     | 28.82% (+6.41%)      | 25.35% (-6.41%)      |
| 0x56f527c3f4a24bb2beba449ffd766331da840ffa.sol | 35.93%               | 53.09% (+47.78%)     | 52.69% (+46.67%)     | 56.89% (+58.33%)     |
| 0x8e5610ab5e39d26828167640ea29823fe1dd5843.sol | 40.00%               | 42.08% (+5.19%)      | 41.82% (+4.55%)      | 40.52% (+1.30%)      |
| 0xd83caa129d9d7080a15d26499733f783eb14e667.sol | 25.96%               | 29.81% (+14.81%)     | 29.09% (+12.04%)     | 29.33% (+12.96%)     |
| 0x4355fc160f74328f9b383df2ec589bb3dfd82ba0.sol | 33.82%               | 34.78% (+2.86%)      | 34.78% (+2.86%)      | 33.82% (0.00%)       |
| 0x526af336d614ade5cc252a407062b8861af998f5.sol | 22.57%               | 23.54% (+4.31%)      | 22.18% (-1.72%)      | 23.93% (+6.03%)      |
| 0x9469d013805bffb7d3debe5e7839237e535ec483.sol | 47.18%               | 60.72% (+28.71%)     | 56.88% (+20.57%)     | 58.01% (+22.97%)     |
