AVERAGE RESULTS


TRANSACTION COUNT RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| count                                         | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| transaction_count                             | 1415.10              | 1460.90 (+3.24%)     | 1465.11 (+3.53%)     | 1295.51 (-8.45%)     |
----------------------------------------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol | 61.90%               | 59.52% (-3.85%)      | 69.05% (+11.54%)     | 61.90% (0.00%)       |
| 0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol | 77.78%               | 77.78% (0.00%)       | 77.78% (0.00%)       | 77.78% (0.00%)       |
| 0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol | 57.61%               | 58.38% (+1.32%)      | 58.12% (+0.88%)      | 57.61% (0.00%)       |
| 0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol | 83.33%               | 77.78% (-6.67%)      | 77.78% (-6.67%)      | 77.78% (-6.67%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 72.41%               | 70.69% (-2.38%)      | N/A                  | 68.97% (-4.76%)      |
| 0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol | 63.49%               | 63.49% (0.00%)       | 66.67% (+5.00%)      | 65.08% (+2.50%)      |
| 0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol | 75.00%               | 75.00% (0.00%)       | 75.00% (0.00%)       | 75.00% (0.00%)       |
| 0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol | 59.52%               | 59.52% (0.00%)       | 59.52% (0.00%)       | 66.67% (+12.00%)     |
| 0x4051334adc52057aca763453820cb0e045076ef3.sol | 81.25%               | 81.25% (0.00%)       | 75.00% (-7.69%)      | 75.00% (-7.69%)      |
| 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol | 61.90%               | 69.05% (+11.54%)     | N/A                  | 66.67% (+7.69%)      |
| 0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol | 25.81%               | 25.81% (0.00%)       | 25.81% (0.00%)       | 25.81% (0.00%)       |
| 0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol | 81.25%               | 81.25% (0.00%)       | 81.25% (0.00%)       | 75.00% (-7.69%)      |
| 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol | 61.90%               | 61.90% (0.00%)       | N/A                  | 66.67% (+7.69%)      |
| 0x524960d55174d912768678d8c606b4d50b79d7b1.sol | 66.67%               | 66.67% (0.00%)       | 66.67% (0.00%)       | 66.67% (0.00%)       |
| 0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol | N/A                  | 66.67% (-166.67%)    | 66.67% (-166.67%)    | N/A                  |
| 0x561eac93c92360949ab1f1403323e6db345cbf31.sol | 61.90%               | 61.90% (0.00%)       | 66.67% (+7.69%)      | 59.52% (-3.85%)      |
| 0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol | 75.00%               | 75.00% (0.00%)       | 75.00% (0.00%)       | 75.00% (0.00%)       |
| 0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol | 68.89%               | 68.89% (0.00%)       | 68.89% (0.00%)       | 68.89% (0.00%)       |
| 0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol | 70.69%               | 70.69% (0.00%)       | 72.41% (+2.44%)      | 67.24% (-4.88%)      |
| 0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol | 66.67%               | 66.67% (0.00%)       | 66.67% (0.00%)       | 66.67% (0.00%)       |
| 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol | 59.52%               | 59.52% (0.00%)       | 59.52% (0.00%)       | 59.52% (0.00%)       |
| 0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol | 66.67%               | 66.67% (0.00%)       | 66.67% (0.00%)       | 66.67% (0.00%)       |
| 0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol | 48.72%               | 53.85% (+10.53%)     | 53.85% (+10.53%)     | 53.85% (+10.53%)     |
| 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol | 66.67%               | 66.67% (0.00%)       | 66.67% (0.00%)       | 66.67% (0.00%)       |
| 0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol | N/A                  | 40.00% (-140.00%)    | 40.00% (-140.00%)    | N/A                  |
| 0x89c1b3807d4c67df034fffb62f3509561218d30b.sol | 42.79%               | 45.95% (+7.37%)      | 37.84% (-11.58%)     | 43.69% (+2.11%)      |
| 0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol | 65.08%               | 69.84% (+7.32%)      | 66.67% (+2.44%)      | 65.08% (0.00%)       |
| 0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol | 57.14%               | 65.31% (+14.29%)     | 63.27% (+10.71%)     | 65.31% (+14.29%)     |
| 0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol | 46.38%               | 46.38% (0.00%)       | 46.38% (0.00%)       | 46.38% (0.00%)       |
| 0xa1fceeff3acc57d257b917e30c4df661401d6431.sol | 74.07%               | 70.37% (-5.00%)      | 70.37% (-5.00%)      | 66.67% (-10.00%)     |
| 0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol | 83.33%               | 83.33% (0.00%)       | 72.22% (-13.33%)     | 77.78% (-6.67%)      |
| 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol | 61.90%               | 61.90% (0.00%)       | 69.05% (+11.54%)     | 61.90% (0.00%)       |
| 0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol | 48.65%               | 48.65% (0.00%)       | 48.65% (0.00%)       | 48.65% (0.00%)       |
| 0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol | 62.00%               | 64.00% (+3.23%)      | 62.00% (0.00%)       | 62.00% (0.00%)       |
| 0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol | 65.00%               | 65.00% (0.00%)       | 65.00% (0.00%)       | 65.00% (0.00%)       |
| 0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol | 63.12%               | 65.00% (+2.97%)      | 64.38% (+1.98%)      | 65.00% (+2.97%)      |
| 0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol | 53.33%               | 53.33% (0.00%)       | 53.33% (0.00%)       | 53.33% (0.00%)       |
| 0xbaa3de6504690efb064420d89e871c27065cdd52.sol | 62.00%               | 62.00% (0.00%)       | 66.00% (+6.45%)      | 62.00% (0.00%)       |
| 0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol | 59.18%               | 67.35% (+13.79%)     | 61.22% (+3.45%)      | 61.22% (+3.45%)      |
